基金名稱,類型,幣別,群益金鼎證券,兆豐證券,國泰證券,永豐金證券,康和證券,好好證券,元大證券,容海投顧,華南永昌證券,遠智證券,鉅亨投顧,新光投信,宏利投信,基富通證券,凱基證券,台銀證券,統一證券,台新證券,安睿宏觀投顧,富邦證券,日盛證券,元富證券,合庫證券,中租投顧,台新投信,柏瑞投信,核聚投顧
駿利亨德森平衡基金,前收累積,美元,X,JANBAA1,X,"68C0001T(台幣申購)
68C0001U(美元申購)",X,●,WMF000999,●,X,X,B22012,X,●,044008,JAN004,X,"T09010TN(台幣申購)
T09010UN(美元申購)",●,X,X,X,X,X,8932,X,X,X
駿利亨德森平衡基金,前收累積,歐元避險,X,●,X,"68C0003T(台幣申購)
68C0003E(歐元申購)",X,●,WMF001000,●,X,X,B22006,X,●,044002,JAN005,X,"T09011TN(台幣申購)
T09011EN(歐元申購)",●,X,X,X,X,X,8934,X,X,X
駿利亨德森平衡基金,前收累積,澳幣避險,X,●,X,"68C0005T(台幣申購)
68C0005A(澳幣申購)",X,●,●,●,X,X,B22130,X,●,044019,JBALAAA,X,●,●,X,X,X,X,X,8936,X,X,X
駿利亨德森平衡基金,前收月配,美元,X,JBALAUI,X,"68C0002T(台幣申購)
68C0002U(美元申購)",X,●,●,●,X,X,B22126,X,●,044022,JBALAUI,X,●,●,X,X,X,X,X,8931,X,X,X
駿利亨德森平衡基金,前收月配,歐元避險,X,●,X,"68C0004T(台幣申購)
68C0004E(歐元申購)",X,●,●,●,X,X,B22127,X,●,044021,JBALAEI,X,●,●,X,X,X,X,X,8933,X,X,X
駿利亨德森平衡基金,前收月配,澳幣避險,X,●,X,"68C0006T(台幣申購)
68C0006A(澳幣申購)",X,●,●,●,X,X,B22128,X,●,044020,JBALAAI,X,●,●,X,X,X,X,X,8935,X,X,X
駿利亨德森平衡基金,前收月配,加幣避險,X,●,X,"68C0007T(台幣申購)
68C0007C(加幣申購)",X,●,●,●,X,X,B22129,X,●,044037,●,X,●,●,X,X,X,X,X,8930,X,X,X
駿利亨德森平衡基金,前收穩月配,美元,X,JANHNDR,X,"68C0040T(台幣申購)
68C0040U(美元申購)",X,●,●,X,X,X,B22131,X,●,044040,JANHNDR,X,●,●,X,X,X,X,X,8955,X,X,X
駿利亨德森平衡基金,後收累積,美元,X,●,X,●,X,●,WMF005082,X,X,X,●,X,●,●,●,X,●,●,X,X,X,X,X,●,X,X,X
駿利亨德森平衡基金,後收穩月配,美元,X,●,X,●,X,●,WMF005083,X,X,X,●,X,●,●,●,X,●,●,X,X,X,X,X,●,X,X,X
駿利亨德森非投資等級債券基金,前收累積,美元,X,JANHYA2,X,"68C0012T(台幣申購)
68C0012U(美元申購)",X,●,WMF001024,●,X,X,B22015,X,●,044027,JAN042,X,"T09008TN(台幣申購)
T09008UN(美元申購)",●,X,X,X,X,X,8942,X,X,X
駿利亨德森非投資等級債券基金,前收累積,歐元避險,X,●,X,"68C0014T(台幣申購)
68C0014E(歐元申購)",X,●,WMF001025,●,X,X,B22010,X,●,044035,JAN043,X,"T09009TN(台幣申購)
T09009EN(歐元申購)",●,X,X,X,X,X,8943,X,X,X
駿利亨德森非投資等級債券基金,前收月配,美元,X,JANHYA1,X,"68C0013T(台幣申購)
68C0013U(美元申購)",X,●,WMF001023,●,X,X,B22036,X,●,044026,JAN041,X,"T09007TM(台幣申購)
T09007UM(美元申購)",●,X,X,X,X,X,8941,X,X,X
駿利亨德森非投資等級債券基金,前收月配,澳幣避險,X,●,X,"68C0015T(台幣申購)
68C0015A(澳幣申購)",X,●,WMF001026,●,X,X,B22119,X,●,044028,JAN044,X,"T09033TM(台幣申購)
T09033AM(澳幣申購)",●,X,X,X,X,X,8944,X,X,X
駿利亨德森非投資等級債券基金,前收穩月配,美元,X,●,X,●,X,●,●,X,X,X,●,X,●,044042,●,X,●,●,X,X,X,X,X,●,X,X,X
駿利亨德森非投資等級債券基金,後收累積,美元,X,●,X,●,X,●,●,X,X,X,●,X,●,●,●,X,●,●,X,X,X,X,X,●,X,X,X
駿利亨德森非投資等級債券基金,後收穩月配,美元,X,●,X,●,X,●,●,X,X,X,●,X,●,●,●,X,●,●,X,X,X,X,X,●,X,X,X
駿利亨德森美國40基金,前收累積,美元,X,JANTWA1,X,"68C0032T(台幣申購)
68C0032U(美元申購)",X,●,WMF001011,●,X,X,B22021,X,●,044030,JAN022,X,"T09006TN(台幣申購)
T09006UN(美元申購)",●,X,X,X,X,X,8937,X,X,X
駿利亨德森美國40基金,前收累積,歐元避險,X,●,X,"68C0033T(台幣申購)
68C0033E(歐元申購)",X,●,WMF001012,●,X,X,B22044,X,●,044033,JAN023,X,●,●,X,X,X,X,X,8938,X,X,X
駿利亨德森美國40基金,後收累積,美元,X,●,X,●,X,●,WMF005084,X,X,X,●,X,●,●,●,X,●,●,X,X,X,X,X,●,X,X,X
駿利亨德森美國創業基金,前收累積,美元,X,JANVTA1,X,"68C0034T(台幣申購)
68C0034U(美元申購)",X,●,WMF001013,●,X,X,B22030,X,●,044031,JAN025,X,"T09027TN(台幣申購)
T09027UN(美元申購)",●,X,X,X,X,X,8953,X,X,X
駿利亨德森美國創業基金,前收累積,歐元避險,X,●,X,"68C0035T(台幣申購)
68C0035E(歐元申購)",X,●,WMF001014,●,X,X,B22002,X,●,044034,JAN026,X,"T09028TN(台幣申購)
T09028EN(歐元申購)",●,X,X,X,X,X,8954,X,X,X
駿利亨德森美國創業基金,後收累積,美元,X,●,X,●,X,●,●,●,X,X,●,X,●,●,●,X,●,●,X,X,X,X,X,●,X,X,X
