基金名稱,類型,幣別,群益金鼎證券,兆豐證券,國泰證券,永豐金證券,康和證券,好好證券,元大證券,容海投顧,華南永昌證券,遠智證券,鉅亨投顧,新光投信,宏利投信,基富通證券,凱基證券,台銀證券,統一證券,台新證券,安睿宏觀投顧,富邦證券,日盛證券,元富證券,合庫證券,中租投顧,台新投信,柏瑞投信,核聚投顧
野村多元收益多重資產,前收月配,人民幣,87,42391084F,A1,140006,V,●,WMF004251,V,A11067,●,A32098,X,X,NOM048,10230,●,A080043F,X,●,DM120080 (信託平台),●,FD07107,X,32063,X,X,X
野村多元收益多重資產,後收累積,新臺幣,134,42391084H,●,42N027,●,●,WMF004252,●,●,●,●,X,X,●,10231,●,A08B007H,X,●,DM620013 (信託平台),●,FD65008,X,●,X,X,X
野村多元收益多重資產,後收累積,美元,●,42391084L,●,42N029,●,●,●,●,●,●,●,X,X,●,●,●,A08B007L,X,●,DM620026(信託平台),●,FD65022,X,●,X,X,X
野村多元收益多重資產,後收月配,新臺幣,133,42391084I,●,42N028,●,●,WMF004253,●,●,●,●,X,X,●,10232,●,A08B007I,X,●,DM620014 (信託平台),●,FD65009,X,●,X,X,X
野村多元收益多重資產,後收月配,美元,132,42391084J,●,42N030,●,●,WMF004254,●,●,●,●,X,X,●,10233,●,A08B007J,X,●,DM620015 (信託平台),●,FD65023,X,●,X,X,X
野村多元收益多重資產,後收月配,人民幣,131,●,●,42N031,●,●,WMF004255,●,●,●,●,X,X,●,10234,●,A08B007K,X,●,DM620016 (信託平台),●,FD65024,X,●,X,X,X
野村多元收益多重資產,TISA,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村亞太新興債券,前收累積,新臺幣,90,42519049A,A9,140085,X,●,WMF003221,V,A11068,●,A32124,X,X,NOM086,178,●,A080045A,X,●,●,●,FD07054,X,32064,X,X,X
野村亞太新興債券,前收累積,美元,92,42519049C,B2,140087,X,●,WMF003223,V,A11070,●,A32126,X,X,NOM088,180,●,A080045C,X,●,●,●,FD07056,X,32066,X,X,X
野村亞太新興債券,前收累積,人民幣,94,42519049E,B4,140089,X,●,WMF003225,V,A11072,●,A32128,X,X,NOM090,182,●,A080045E,X,●,●,●,FD07058,X,32068,X,X,X
野村亞太新興債券,前收月配,新臺幣,91,42519049B,B1,140086,X,●,WMF003222,V,A11069,●,A32125,X,X,NOM087,179,●,A080045B,X,●,●,●,FD07055,X,32065,X,X,X
野村亞太新興債券,前收月配,美元,93,42519049D,B3,140088,X,●,WMF003224,V,A11071,●,A32127,X,X,NOM089,181,●,A080045D,X,●,●,●,FD07057,X,32067,X,X,X
野村亞太新興債券,前收月配,人民幣,95,42519049F,B5,140090,X,●,WMF003226,V,A11073,●,A32129,X,X,NOM091,183,●,A080045F,X,●,●,●,FD07059,X,32069,X,X,X
野村亞太新興債券,後收累積,新臺幣,138,42519049G,●,●,X,●,●,V,●,●,●,X,X,●,10217,●,●,X,●,●,●,FD65006,X,●,X,X,X
野村亞太新興債券,後收月配,新臺幣,137,42519049H,●,●,X,●,●,V,●,●,●,X,X,●,10218,●,●,X,●,●,●,FD65007,X,●,X,X,X
野村亞太新興債券,後收月配,美元,136,42519049I,●,●,X,●,●,V,●,●,●,X,X,●,10219,●,●,X,●,●,●,FD65020,X,●,X,X,X
