基金名稱,類型,幣別,群益金鼎證券,兆豐證券,國泰證券,永豐金證券,康和證券,好好證券,元大證券,容海投顧,華南永昌證券,遠智證券,鉅亨投顧,新光投信,宏利投信,基富通證券,凱基證券,台銀證券,統一證券,台新證券,安睿宏觀投顧,富邦證券,日盛證券,元富證券,合庫證券,中租投顧,台新投信,柏瑞投信,核聚投顧
高盛大中華股票,前收累積,美元,INGIGC,NNGCEXUSD,X,"72C0011T(台幣申購)
72C0011U(美元申購)",X,●,WMF000982,V,04007U,●,B33016,X,X,033034,ING029,X,"T15009TN(台幣申購)
T15009UN(美元申購)",NN01,●,"FM030027 (信託平台)
A00320000027 (複委託平台)",33014,"FI10025T(台幣再投資)
FI10025U(外幣再投資)",X,4946,X,X,LU0121204944
高盛大中華股票,後收累積,美元,NNGCEYUSD,NNGCEYUSD,X,"91Y0002T(台幣申購)
91Y0002U(美元申購)",X,X,WMF003999,V,●,X,●,X,X,X,ING030,X,X,X,●,FM620026 (信託平台),●,"FI43018T(台幣後收)
FI43018U(外幣後收)",X,◎4948,X,X,LU0756535570
高盛日本股票,前收累積,美元,INGIJPS,NNJEXUSD,X,"72C0023T(台幣申購)
72C0023U(美元申購)",X,●,WMF000981,V,04011U,●,B33090,X,X,033048,ING028,X,"T15053TN(台幣申購)
T15053UN(美元申購)",NN03,●,"FM030043 (信託平台)
A00320000043 (複委託平台)",33024,"FI10024T(台幣再投資)
FI10024U(外幣再投資)",X,4950,X,X,LU0430559335
高盛日本股票,前收累積,對沖美元,NNJEXUSDH,NNJEXUSDH,X,"72C0055T(台幣申購)
72C0055U(美元申購)",X,●,WMF002324,V,04011UH,●,B33179,X,X,033049,●,X,●,NN04,●,"FM030044 (信託平台)
A00320000044 (複委託平台)",33025,"FI11016T(台幣配現)
FI11016U(外幣配現)",X,5020,X,X,LU1203773376
高盛日本股票,前收累積,日圓,INGIJP,NNJEXJPY,X,"◎72C0004T(台幣申購)
◎72C0004J(日圓申購)",X,●,WMF000980,V,04011J,●,B33005,X,X,033047,ING027,X,"T15002TN(台幣申購)
T15002JN(日圓申購)",NN02,●,"FM030042 (信託平台)
A00320000042 (複委託平台)",33023,"FI10023T(台幣再投資)
FI10023U(外幣再投資)",X,4949,X,X,LU0113305683
高盛日本股票,後收累積,對沖美元,NNJEYUSDH,NNJEYUSDH,X,"91Y0033T(台幣申購)
91Y0033U(美元申購)",X,X,WMF004000,V,●,X,●,X,X,X,NNJEYUSDH,X,X,X,●,●,●,"FI43019T(台幣後收)
FI43019U(外幣後收)",X,●,X,X,LU1203773459
高盛環球社會影響力,前收累積,美元,INGIITS,NNITXUSD,X,"72C0008T(台幣申購)
72C0008U(美元申購)",X,●,WMF000991,V,04010U,●,B33091,X,X,033012,ING047,X,"T15028TN(台幣申購)
T15028UN(美元申購)",NN05,●,"FM030041 (信託平台)
A00320000041 (複委託平台)",33021,"FI10019T(台幣再投資)
FI10019U(外幣再投資)
FI11060T(台幣配現)
FI11060U(外幣配現)",X,4956,X,X,LU0121174428
高盛環球社會影響力,前收累積,歐元,INGIITU,NNITXEUR,X,"72C0018T(台幣申購)
72C0018E(歐元申購)",X,●,WMF000992,V,04010E,●,B33092,X,X,033046,ING048,X,"T15029TN(台幣申購)
T15029EN(歐元申購)",NN06,●,"FM030040 (信託平台)
A00320000040 (複委託平台)",33022,"FI10018T(台幣再投資)
FI10018U(外幣再投資)
FI11059T(台幣配現)
FI11059U(外幣配現)",X,4958,X,X,LU0332192888
高盛環球社會影響力,前收月配,美元,●,●,X,●,X,●,WMF004809,,●,●,,,,033074,●,X,●,●,,●,,●,X,,,,
高盛環球社會影響力,前收月配,對沖澳幣,●,●,X,●,X,●,WMF004810,,●,●,,,,033073,●,X,●,●,,●,,●,X,,,,
