基金名稱,類型,幣別,群益金鼎證券,兆豐證券,國泰證券,永豐金證券,康和證券,好好證券,元大證券,容海投顧,華南永昌證券,遠智證券,鉅亨投顧,新光投信,宏利投信,基富通證券,凱基證券,台銀證券,統一證券,台新證券,安睿宏觀投顧,富邦證券,日盛證券,元富證券,合庫證券,中租投顧,台新投信,柏瑞投信,核聚投顧
晉達 - 亞洲股票,前收累積,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
晉達 - 亞洲股票,前收配息,美元,GAEC,GAEC,X,"77C0006T(台幣申購)
77C0006U(美元申購)",X,●,X,V,07002U,X,B27035,X,X,038035,GAEC,X,"T01005TN(台幣申購)(再投資)
T01005UN(美元申購)(再投資)",X,X,"FM140004(信託平台)
B02910000020 (複委託平台)",●,X,X,1006,X,LU0345776339,X
晉達 - 美元貨幣,前收配息,美元,GUSA,◎GUSA,X,●,X,X,X,X,X,X,●,X,X,●,●,X,●,X,X,"FM140005(信託平台)
B02910000018 (複委託平台)",●,X,X,X,X,LU0345758782,X
晉達 - 美元貨幣,前收配息,美元,●,●,X,"77C0007T(台幣申購)
77C0007U(美元申購)",X,●,X,V,●,X,●,X,X,038048,GUS310,X,●,X,X,●,●,X,X,1007,X,●,X
晉達 - 美國股票,前收配息,美元,GABC,GABC,X,"77C0008T(台幣申購)
77C0008U(美元申購)",X,●,X,V,07003U,X,B27008,X,X,038025,GABC,X,"◎T01004TN(台幣申購)(再投資)
◎T01004UN(美元申購)(再投資)",X,X,"FM140006(信託平台)
B02910000001 (複委託平台)",●,X,X,1008,X,LU0345774714,X
晉達 - 英國ALPHA,前收配息,英磅,GUKC,GUKC,X,"77C0009T(台幣申購)
77C0009G(英鎊申購)",X,●,X,V,07018GY,X,B27029,X,X,"
038032",GUKC,X,"T01010TN(台幣申購)(再投資)
T01010GN(英鎊申購)(再投資)
T01011TA(台幣申購)(年配息)
T01011GA(英鎊申購)(年配息)",X,X,"FM140007(信託平台)
B02910000017 (複委託平台)",●,X,X,1009,X,LU0345775448,X
晉達 - 英鎊貨幣,前收配息,英磅,GSFA,GSFA,X,●,X,●,X,V,●,X,●,X,X,●,●,X,●,X,X,"FM140008(信託平台)
B02910000021 (複委託平台)",●,X,X,●,X,LU0345759590,X
晉達 - 新興市場公司債券,前收累積,美元,●,●,X,●,X,X,X,X,X,X,X,X,X,●,●,X,●,X,X,●,X,X,X,X,X,●,X
晉達 - 新興市場公司債券,前收配息,美元,●,●,X,●,X,X,X,X,X,X,X,X,X,●,●,X,●,X,X,●,X,X,X,X,X,●,X
晉達 - 新興市場公司債券,前收累積,美元,EMC651,●,X,"77C0013T(台幣申購)
77C0013U(美元申購)",X,●,X,V,07004U,X,B27093,X,X,038047,EMC651,X,●,X,X,●,●,X,X,1016,X,●,X
晉達 - 新興市場公司債券,前收配息,美元,EMCDC,●,X,"77C0010T(台幣申購)
77C0010U(美元申購)",X,●,X,V,07004UM,X,B27092,X,X,038003,EMCDC,X,●,X,X,●,●,X,X,1019,X,●,X
晉達 - 新興市場公司債券,前收配息,澳幣避險IRD,EMC749,●,X,"77C0012T(台幣申購)
77C0012A(澳幣申購)",X,●,X,V,●,X,B27147,X,X,038001,EMC749,X,●,X,X,●,●,X,X,1017,X,●,X
晉達 - 新興市場公司債券,前收配息,南非幣避險IRD,EMC779,●,X,"77C0011T(台幣申購)
77C0011Z(南非幣申購)",X,●,X,V,●,X,B27148,X,X,038002,EMC779,X,●,X,X,●,●,X,X,1018,X,●,X
晉達 - 新興市場多重收益,前收累積,美元,●,●,X,●,X,X,X,X,X,X,X,X,X,●,●,X,●,X,X,●,X,X,X,X,X,●,X
晉達 - 新興市場多重收益,前收累積,美元,EMA763,●,X,"77C0015T(台幣申購)
77C0015U(美元申購)",X,●,X,V,07005U,X,B27166,X,X,038046,EMA763,X,"T01034TN(台幣申購)
T01034UN(美元申購)",X,X,●,●,X,X,1020,X,●,X
晉達 - 新興市場多重收益,前收配息,美元,EMA758,●,X,"77C0014T(台幣申購)
77C0014U(美元申購)",X,●,X,V,07005UM,X,B27165,X,X,038045,EMA758,X,"T01035TM(台幣申購)
T01035UM(美元申購)",X,X,●,●,X,X,1021,X,●,X
晉達 - 新興市場股票,前收累積,美元,EMECACC,●,X,"77C0016T(台幣申購)
77C0016U(美元申購)",X,●,X,V,07006U,X,B27063,X,X,038004,EMECACC,X,●,X,X,●,●,X,X,1011,X,●,X
晉達 - 新興市場當地貨幣債券,前收累積,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
晉達 - 新興市場當地貨幣債券,前收累積,美元,GEM660,●,X,"77C0018T(台幣申購)
77C0018U(美元申購)",X,●,X,V,●,X,●,X,X,038027,GEM660,X,●,X,X,●,●,X,X,1022,X,●,X
晉達 - 新興市場當地貨幣債券,前收配息,美元,GEMDC,GEMDC,X,"77C0017T(台幣申購)
77C0017U(美元申購)",X,●,X,V,07007UM,X,B27041,X,X,"
038028",GEMDC,X,"T01020TN(台幣申購)(再投資)
T01020UN(美元申購)(再投資)
T01021TM(台幣申購)(月配息)
T01021UM(美元申購)(月配息)",X,X,"FM140009(信託平台)
B02910000024 (複委託平台)",●,X,X,1023,X,LU0345767932,X
晉達 - 歐洲股票,前收累積,美元避險,●,●,X,●,X,X,X,X,X,X,X,X,X,●,●,X,●,X,X,●,X,X,X,X,X,●,X
晉達 - 歐洲股票,前收累積,歐元,●,●,X,●,X,X,X,X,X,X,X,X,X,●,●,X,●,X,X,●,X,X,X,X,X,●,X
晉達 - 歐洲股票,前收累積,美元避險,●,●,X,"77C0020T(台幣申購)
77C0020U(美元申購)",X,●,X,V,07008U,X,B27150,X,X,038041,GEU262,X,●,X,X,●,●,X,X,1025,X,●,X
晉達 - 歐洲股票,前收累積,歐元,●,●,X,"77C0021T(台幣申購)
77C0021E(歐元申購)",X,●,X,V,●,X,●,X,X,038034,GEU027,X,●,X,X,●,●,X,X,1024,X,●,X
